JOB_ID,QUESTION_ID,QUESTION_TEXT,HINT,IS_REQUIRED,QUESTION_TYPE,CHOICE_LABEL,CHOICE_VALUE,QUESTION_LANG_MAPPING_LOCALES,QUESTION_LANG_MAPPING_LABELS,CHOICE_LANG_MAPPING_LOCALES,CHOICE_LANG_MAPPING_LABELS
A1B2C3,Q1,"What programming languages are you proficient in?","List your top languages",TRUE,multi_value,"Java,Python,JavaScript","1,2,3","en-US,es-ES","What programming languages are you proficient in?,¿En qué lenguajes de programación eres competente?","en-US,es-ES","Java/Python/JavaScript,Java/Python/JavaScript"
A1B2C3,Q2,"Do you have experience with Agile methodologies?","Please specify your experience",TRUE,choice,"Yes","1","en-US,es-ES","Do you have experience with Agile methodologies?,¿Tienes experiencia con metodologías Agile?","en-US,es-ES","Yes,Sí"
A1B2C3,Q2,"Do you have experience with Agile methodologies?","Please specify your experience",TRUE,choice,"No","0","en-US,es-ES","Do you have experience with Agile methodologies?,¿Tienes experiencia con metodologías Agile?","en-US,es-ES","No,No"
D4E5F6,Q3,"What digital marketing tools do you use?","List your top tools",TRUE,text,,,"en-US,es-ES","What digital marketing tools do you use?,¿Qué herramientas de marketing digital utilizas?",,
D4E5F6,Q4,"Rate your SEO expertise.","Self-assess your skills",TRUE,choice,"Beginner","1","en-US,es-ES","Rate your SEO expertise.,Califica tu experiencia en SEO.","en-US,es-ES","Beginner,Principiante"
D4E5F6,Q4,"Rate your SEO expertise.","Self-assess your skills",TRUE,choice,"Intermediate","2","en-US,es-ES","Rate your SEO expertise.,Califica tu experiencia en SEO.","en-US,es-ES","Intermediate,Intermedio"
D4E5F6,Q4,"Rate your SEO expertise.","Self-assess your skills",TRUE,choice,"Expert","3","en-US,es-ES","Rate your SEO expertise.,Califica tu experiencia en SEO.","en-US,es-ES","Expert,Experto"
G7H8I9,Q5,"What data analysis software are you familiar with?","List your software",TRUE,multi_value,"R,Python,Excel","1,2,3","en-US,es-ES","What data analysis software are you familiar with?,¿Con qué software de análisis de datos estás familiarizado?","en-US,es-ES","R/Python/Excel,R/Python/Excel"
G7H8I9,Q6,"Have you worked with SQL databases?","Please provide details",TRUE,choice,"Yes","1","en-US,es-ES","Have you worked with SQL databases?,¿Has trabajado con bases de datos SQL?","en-US,es-ES","Yes,Sí"
G7H8I9,Q6,"Have you worked with SQL databases?","Please provide details",TRUE,choice,"No","0","en-US,es-ES","Have you worked with SQL databases?,¿Has trabajado con bases de datos SQL?","en-US,es-ES","No,No"
J1K2L3,Q7,"What is your experience with product lifecycle management?","Describe your background",TRUE,text,,,"en-US,es-ES","What is your experience with product lifecycle management?,¿Cuál es tu experiencia con la gestión del ciclo de vida del producto?",,
J1K2L3,Q8,"How do you prioritize features?","Share your approach",TRUE,text,,,"en-US,es-ES","How do you prioritize features?,¿Cómo priorizas las características?",,
M4N5O6,Q9,"What design tools do you prefer?","List your favorite tools",TRUE,multi_value,"Adobe XD,Sketch,Figma","1,2,3","en-US,es-ES","What design tools do you prefer?,¿Qué herramientas de diseño prefieres?","en-US,es-ES","Adobe XD/Sketch/Figma,Adobe XD/Sketch/Figma"
